Date,KORCOMP(PI),F_K200C,F_ROE,F_Payout,F_EP,F_5yEP,F_DP,F_BP,E_USTsprd,E_KRTsprd,E_RealRate,E_InvCirc,E_EconSent,E_ProducersMachineryShipment,E_ConstructionOrders,E_TermsOfTrade,E_IndProd,E_Service,E_ConstructionCompleted,E_RetailSale,E_Shipment,E_Imports,E_ServiceEmployed,E_ProducersInven,E_ImportConsumerGoods,E_Employed,E_MVperM2
1990-03-14,838.19,,,,,,,,0.572,,,,,,,,,,,,,,,,,,
1990-03-15,835.59,,,,,,,,0.535,,,,,,,,,,,,,,,,,,
1990-03-16,842.27,,,,,,,,0.56,,,,,,,,,,,,,,,,,,
1990-03-19,839.42,,,,,,,,0.65,,,,,,,,,,,,,,,,,,
1990-03-20,849.98,,,,,,,,0.395,,,,,,,,,,,,,,,,,,
1990-03-21,849.91,,,,,,,,0.43,,,,,,,,,,,,,,,,,,
1990-03-22,845.96,,,,,,,,0.397,,,,,,,,,,,,,,,,,,
1990-03-23,841.79,,,,,,,,0.486,,,,,,,,,,,,,,,,,,
1990-03-26,834.54,,,,,,,,0.484,,,,,,,,,,,,,,,,,,
1990-03-27,827.92,,,,,,,,0.458,,,,,,,,,,,,,,,,,,
1990-03-28,819.04,,,,,,,,0.498,,,,,,,,,,,,,,,,,,
1990-03-29,824.59,,,,,,,,0.624,,,,,,,,,,,,,,,,,,
1990-03-30,845.98,,,,,,,,0.85,,,,,,,,,,,,,,,,,,0.698780613
1990-04-02,838.29,,,,,,,,0.648,,,,,,,,,,,,,,,,,,0.721152946
1990-04-03,836.63,,,,,,,,0.63,,,,,,,,,,,,,,,,,,0.719639944
1990-04-04,828.98,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.712748443
1990-04-05,828.98,,,,,,,,0.65,,,,,,,,,,,,,,,,,,0.712748443
1990-04-06,831.73,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.71530949
1990-04-09,816.78,,,,,,,,0.637,,,,,,,,,,,,,,,,,,0.702211455
1990-04-10,810.76,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.697171743
1990-04-11,813.66,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.699679737
1990-04-12,806.86,,,,,,,,0.718,,,,,,,,,,,,,,,,,,0.693621472
1990-04-13,803.15,,,,,,,,0.718,,,,,,,,,,,,,,,,,,0.690268299
1990-04-16,777,,,,,,,,0.94,,,,,,,,,,,,,,,,,,0.668035136
1990-04-17,796.56,,,,,,,,0.845,,,,,,,,,,,,,,,,,,0.685249305
1990-04-18,781.53,,,,,,,,0.847,,,,,,,,,,,,,,,,,,0.673028296
1990-04-19,768.31,,,,,,,,0.909,,,,,,,,,,,,,,,,,,0.661614606
