Instrument,CBOEVIX,S&PCOMP
Field,PI,PI
Dates,,
1990-01-01,,353.4
1990-01-02,17.24,359.69
1990-01-03,18.19,358.76
1990-01-04,19.22,355.67
1990-01-05,20.11,352.2
1990-01-08,20.26,353.79
1990-01-09,22.2,349.62
1990-01-10,22.44,347.31
1990-01-11,20.05,348.53
1990-01-12,24.64,339.93
1990-01-15,26.34,337.0
1990-01-16,24.18,340.75
1990-01-17,24.16,337.4
1990-01-18,24.34,338.19
1990-01-19,22.5,339.15
1990-01-22,26.7,330.38
1990-01-23,24.72,331.61
1990-01-24,25.39,330.26
1990-01-25,25.63,326.08
1990-01-26,26.28,325.8
1990-01-29,26.44,325.2
1990-01-30,27.25,322.98
1990-01-31,25.36,329.08
1990-02-01,24.87,328.79
1990-02-02,24.32,330.92
1990-02-05,24.54,331.85
1990-02-06,24.69,329.66
1990-02-07,24.29,333.75
1990-02-08,23.77,332.96
1990-02-09,23.69,333.62
1990-02-12,24.38,330.08
1990-02-13,23.76,331.02
1990-02-14,22.05,332.01
1990-02-15,19.71,334.89
1990-02-16,20.78,332.72
1990-02-19,20.78,332.72
1990-02-20,22.78,327.99
1990-02-21,23.89,327.67
1990-02-22,22.54,325.7
1990-02-23,23.69,324.15
1990-02-26,23.56,328.67
1990-02-27,22.69,330.26
1990-02-28,21.99,331.89
1990-03-01,21.9,332.74
1990-03-02,21.34,335.54
1990-03-05,22.03,333.74
1990-03-06,20.55,337.93
1990-03-07,19.1,336.95
1990-03-08,19.74,340.27
1990-03-09,20.3,337.93
1990-03-12,20.07,338.67
1990-03-13,21.05,336.0
1990-03-14,19.65,336.87
1990-03-15,18.81,338.07
1990-03-16,17.62,341.91
1990-03-19,18.29,343.53
1990-03-20,19.06,341.57
1990-03-21,20.1,339.74
1990-03-22,22.74,335.69
1990-03-23,20.46,337.22
1990-03-26,19.59,337.63
1990-03-27,21.01,341.5
1990-03-28,19.77,342.0
1990-03-29,18.46,340.79
1990-03-30,19.73,339.94
1990-04-02,22.84,338.7
1990-04-03,20.44,343.64
1990-04-04,22.03,341.09
1990-04-05,21.21,340.73
1990-04-06,21.76,340.08
1990-04-09,22.3,341.37
1990-04-10,21.69,342.07
1990-04-11,17.73,341.92
1990-04-12,19.8,344.34
1990-04-13,19.8,344.34
1990-04-16,20.75,344.74
1990-04-17,20.38,344.68
1990-04-18,22.67,340.72
1990-04-19,22.46,338.09
1990-04-20,23.33,335.12
1990-04-23,24.16,331.05
1990-04-24,21.7,330.36
1990-04-25,20.86,332.03
1990-04-26,20.25,332.92
1990-04-27,22.19,329.11
1990-04-30,19.52,330.8
1990-05-01,18.43,332.25
1990-05-02,19.32,334.48
1990-05-03,17.81,335.57
1990-05-04,17.28,338.39
1990-05-07,17.65,340.53
1990-05-08,18.49,342.01
1990-05-09,18.64,342.86
1990-05-10,18.59,343.82
1990-05-11,19.81,352.0
1990-05-14,20.14,354.75
1990-05-15,19.49,354.28
1990-05-16,17.71,354.0
1990-05-17,17.27,354.47
1990-05-18,17.2,354.64
1990-05-21,16.72,358.0
1990-05-22,17.84,358.43
1990-05-23,17.18,359.29
1990-05-24,17.7,358.41
1990-05-25,17.32,354.58
1990-05-28,17.32,354.58
1990-05-29,18.75,360.65
1990-05-30,17.44,360.86
1990-05-31,17.37,361.23
1990-06-01,17.09,363.16
1990-06-04,18.39,367.4
1990-06-05,18.97,366.64
1990-06-06,17.42,364.96
1990-06-07,16.88,363.15
1990-06-08,17.58,358.71
1990-06-11,16.34,361.63
1990-06-12,16.6,366.25
1990-06-13,17.38,364.9
1990-06-14,17.4,362.9
1990-06-15,15.9,362.91
1990-06-18,17.71,356.88
1990-06-19,15.23,358.47
1990-06-20,15.27,359.1
1990-06-21,14.72,360.47
1990-06-22,19.36,355.43
1990-06-25,17.06,352.31
1990-06-26,16.29,352.06
1990-06-27,16.0,355.14
1990-06-28,16.18,357.63
1990-06-29,15.5,358.02
1990-07-02,16.26,359.54
1990-07-03,16.11,360.16
1990-07-04,16.11,360.16
1990-07-05,17.25,355.68
1990-07-06,16.41,358.42
1990-07-09,16.66,359.52
1990-07-10,16.92,356.49
1990-07-11,16.68,361.23
1990-07-12,17.06,365.44
1990-07-13,17.09,367.31
1990-07-16,16.75,368.95
1990-07-17,16.66,367.52
1990-07-18,18.9,364.22
1990-07-19,18.56,365.32
1990-07-20,15.63,361.61
1990-07-23,23.68,355.31
1990-07-24,21.79,355.79
1990-07-25,20.19,357.09
1990-07-26,20.26,355.91
1990-07-27,21.12,353.44
1990-07-30,21.16,355.55
1990-07-31,21.11,356.15
1990-08-01,21.64,355.52
1990-08-02,20.43,351.48
1990-08-03,28.74,344.86
1990-08-06,35.91,334.43
1990-08-07,32.75,334.83
1990-08-08,28.27,338.35
1990-08-09,24.39,339.94
1990-08-10,25.75,335.52
1990-08-13,25.74,338.84
1990-08-14,24.18,339.39
1990-08-15,23.31,340.06
1990-08-16,27.16,332.39
1990-08-17,27.53,327.83
1990-08-20,26.46,328.51
1990-08-21,28.9,321.86
