,CBOEVIX,S&PCOMP,SMB,HML,SBcov,HLcov,MKT,SMB_mom,HML_mom,MKT_mom,CBOEVIX_d,CBOEVIX_roll,CBOEVIX_spr,MKTVol,SMBVol,HMLVol,MSCov,MHCov,SHCov,MKTp,SMBp,HMLp,MSCovp,MHCovp,SHCovp,Rsqr,classifier
1992-12-24,11.57,439.77,0.0033,0.0009999999999999998,0.15220817049263263,0.44757752324037386,0.0016855340181765044,1.1449840558147326,1.3874448962979566,1.0819514835408182,0.007288414921194598,0.009784442805599924,-0.0024960278844053264,3.9039674597162145e-05,3.74251984126984e-05,8.40061111111111e-05,-4.263753745750012e-05,-3.950604328936653e-06,2.98377537469171e-05,122.08259293918053,227.85431611368816,34.589720085453024,79.38573650204525,148.00831206934106,57.67944256636885,0.39837812897763236,2.0
1992-12-28,12.22,439.15,-0.0021999999999999997,0.0055,0.1473752039461203,0.42684610130905154,-0.0014098278645655604,1.1558732202468047,1.3925692186340588,1.0578359107770887,0.007697876433621261,0.009772518926391895,-0.002074642492770634,3.7237875718004794e-05,3.69104365079365e-05,8.411329365079364e-05,-4.055622282537779e-05,-4.082506339311308e-06,2.9789761904761916e-05,118.33715305256258,214.79629193713845,35.90202913085837,72.55170769384544,139.44922446701057,50.528168431509755,0.40373719435997646,2.0
1992-12-29,12.29,437.98,0.003,0.0014999999999999996,0.14471961044710052,0.4272812179852041,-0.0026642377319821,1.147180724230702,1.3975930177993854,1.0500851135246612,0.00774197228880567,0.009756982886710994,-0.0020150105979053236,3.7178488319051436e-05,3.650027777777777e-05,8.410472222222219e-05,-4.096897866239786e-05,-3.962310949766189e-06,3.006894991462721e-05,110.40060152792626,211.16168734649767,33.254033768223096,68.47065746653831,136.54003835705439,48.17828886663068,0.40348510206291865,2.0
1992-12-30,12.6,438.82,0.0059,0.009,0.14477246569278443,0.4288004363498408,0.0019178957943284392,1.1492372179102281,1.383877679057486,1.0516704213200418,0.007937253933193772,0.00974027195746452,-0.0018030180242707486,3.719242561277345e-05,3.657170634920633e-05,8.299361111111109e-05,-4.0902040590791656e-05,-3.885558094056542e-06,2.9897124833997355e-05,99.47137497148402,220.05665909152282,27.660511697942127,67.47007039555504,144.53677949478416,57.1718095886835,0.40415941063569627,2.0
1992-12-31,12.57,435.71,0.0226,0.0037000000000000006,0.1387029263896794,0.4248682792638988,-0.0070871883688072845,1.1641505488211994,1.36577977037365,1.0390375351743222,0.00791835570954331,0.009724610929531962,-0.001806255219988652,3.729313591439102e-05,3.8240396825396815e-05,8.190111111111109e-05,-4.251859754500306e-05,-4.623680600865357e-06,2.920362107127049e-05,86.09859784212082,230.50006637767183,20.95146956996919,66.04626217015945,150.8310171865905,64.63292562992076,0.4023345383071337,2.0
1993-01-04,13.36,435.38,0.0036,0.013399999999999999,0.1403632896983495,0.4243008679567465,-0.0007573844988638667,1.147908715658237,1.3682099834881938,1.0416786295339289,0.008416008932338792,0.009709887313486827,-0.001293878381148035,3.725243632207669e-05,3.7034523809523796e-05,8.207968253968251e-05,-4.20656888494709e-05,-4.428757125818647e-06,2.807920571681529e-05,69.63971932484617,252.61431120476448,11.481990952839524,67.7529351573703,154.37858187510253,67.62981649104758,0.4007702526328104,2.0
1993-01-05,13.35,434.34,0.006499999999999999,0.013199999999999998,0.1403423939163979,0.42327236767217047,-0.002388717901603221,1.1449510675949035,1.3861317420960269,1.040584571154768,0.008409709524455305,0.009695538662196662,-0.001285829137741357,3.726795536553475e-05,3.687357142857142e-05,8.277107142857139e-05,-4.208386978196474e-05,-4.686616787865384e-06,2.87242496679947e-05,51.72130286078545,253.2091314610987,5.719586824666209,60.23544057335906,151.47610926527565,66.56842416231498,0.39080104994087894,2.0
1993-01-06,13.37,434.52,0.0102,0.0248,0.13962336052614946,0.41594074653766094,0.00041442188147544634,1.1475638143509974,1.4217874179761876,1.039272901219804,0.008422308340222279,0.00968150248153564,-0.0012591941413133603,3.725747621544451e-05,3.703876984126983e-05,8.520849206349203e-05,-4.2153308211822385e-05,-4.614361864641359e-06,3.065638335546704e-05,35.76076645935413,249.9411536327428,2.119230405158646,51.20228535129186,152.93834211076268,71.85893699594776,0.38239610670934365,2.0
1993-01-07,14.72,430.73,0.0121,-0.0014999999999999992,0.13952071713147418,0.41876305097072236,-0.00872226825002298,1.1423717286364172,1.4104865741174617,1.031416872201337,0.00927272840449304,0.00966951610820178,-0.0003967877037087397,3.755392245920527e-05,3.651305555555554e-05,8.504976190476186e-05,-4.2799149387408e-05,-4.353824939367485e-06,2.973439385315881e-05,24.6709439390019,238.63960919921453,2.640999899109474,39.96590386837033,157.46821019810542,82.252769266828,0.3766756720039781,2.0
1993-01-08,13.77,429.05,-0.0006,-0.00030000000000000003,0.14145201100360466,0.41675798393726887,-0.003900355210921025,1.127702790990948,1.4044456455629746,1.0336063599132739,0.008674284655561764,0.009658367156154021,-0.0009840825005922576,3.7470938146151935e-05,3.590432539682538e-05,8.498662698412696e-05,-4.218030730796423e-05,-4.171457729565118e-06,2.9503323531271762e-05,14.04726492893689,191.25305097956365,11.519046966001554,13.11035290803207,154.96634941197286,91.06118046343255,0.3594524638031724,2.0
